Row_ID,KMeans_cluster,Distance_to_centroid,Component_1,Component_2,y,housing,loan
1,3,2.797317074872253,0.3910058634807254,-0.14777293983730874,no,yes,no
2,3,1.660634090417586,0.18436068611659748,-0.2299008555423772,no,yes,no
3,3,1.9408707682000694,0.5921148021033767,-0.23859694116245272,no,yes,yes
4,3,1.7530240198306635,0.0037027973595230405,-0.2333948993855325,no,yes,no
5,3,2.095677783266849,-0.9724076811807,-0.2373413039227177,no,no,no
6,3,2.4659589511791666,0.45669403185785273,-0.211916285105978,no,yes,no
7,3,2.7877533666156094,-0.17809090604577768,-0.15337969480257949,no,yes,yes
8,3,3.3362854218046714,-2.503119220569127,-0.27782001424584124,no,yes,no
9,3,2.5534568280190055,-0.10658421161959776,-0.34989331515440025,no,yes,no
10,3,1.8301000806479133,0.1781279190436464,-0.23397520276778924,no,yes,no
11,3,1.5677657114578092,-0.20941795956293327,-0.2109298184224926,no,yes,no
12,3,2.1224948431131168,0.09562121984511703,-0.1727542426422528,no,yes,no
13,3,2.592713126197473,0.8045411985510756,-0.13632764343013454,no,yes,no
14,3,2.337908086181843,-0.0716108620296327,-0.3386752200163913,no,yes,no
15,3,2.2029248950889024,0.6623042722492912,-0.25885061949051646,no,yes,no
16,3,2.0138712683953903,-0.10479250132690192,-0.22430666264338134,no,yes,no
17,3,1.9093428437825646,-0.7959851640434282,-0.2885646157949868,no,yes,no
18,3,2.502872765963169,0.20344900174945868,-0.34413731689993005,no,yes,no
19,3,2.4933236826324134,-0.1115698245652671,-0.30143148320990854,no,yes,no
20,3,2.0863290768571,0.6999547956723141,-0.24082419487891754,no,yes,no
21,3,1.9969529318487436,0.9162906131747585,-0.11767339633569698,no,yes,yes
22,3,2.6667438349281096,0.41849350896480947,-0.23623038761158321,no,yes,no
23,3,1.9485154041527077,-0.4036370422553266,-0.23270558582686068,no,yes,yes
24,3,2.1688013703411775,0.7043698447516068,-0.12014649341109475,no,yes,no
25,3,1.6223375380275216,-0.08266049596777816,-0.26224332423804086,no,yes,yes
26,3,1.9297917982420636,0.726498897882561,-0.23982665484095814,no,yes,no
27,3,2.496388601174363,-0.19134856540246206,-0.16557783462387543,no,yes,no
28,3,1.9733110047314268,0.5634547731170904,-0.26839875136068087,no,yes,yes
29,3,1.5586637472581797,0.25735196680471034,-0.25745941005175677,no,yes,no
30,3,1.7919774117715772,0.1874284986880511,-0.1313662107040254,no,yes,yes
31,3,2.10544108022005,0.7908239688798817,-0.20767655407493324,no,no,yes
32,3,2.4598650958757653,0.4334413751044986,-0.21302676792714353,no,yes,no
33,3,2.406727003111739,0.6971728897552043,-0.2529607004078596,no,yes,yes
34,3,2.425481136560305,0.8870187673000236,-0.2469659300691627,no,yes,no
35,3,3.1396048536666474,0.3769248392577816,-0.04413411221324506,no,yes,no
36,3,2.072370627674698,-0.12473691341631121,-0.26186447687273323,no,yes,no
37,3,2.314426082648047,0.930604189592489,-0.10779716101552916,no,yes,no
38,3,3.0854261162901055,0.8022372920110337,-0.09448130337743715,no,no,no
39,3,2.468752228607179,-0.2135028612260635,-0.06760790962263234,no,yes,no
40,3,1.8185344011848836,0.09129861352036255,-0.2121606558784187,no,yes,no
41,3,2.191378953553437,-0.28867804692004334,-0.14389132889117692,no,yes,no
42,3,1.8344058356007238,0.8875806363740474,-0.2837952011426205,no,yes,no
43,3,2.603806125517768,0.010930022338960364,-0.3554822919534254,no,yes,no
44,3,3.0082562912223803,0.5695269436717858,-0.07981976981608106,no,yes,no
45,3,3.1697796866070864,-0.3050763524460725,-0.16134800549491737,no,yes,no
46,3,1.8438748707836436,-0.5955969595431194,-0.22384949988575983,no,yes,no
47,3,2.7520336339903317,0.12421553539200057,-0.24533705304129866,no,yes,no
48,3,1.7530077686074266,0.8338179076862013,-0.2629249304401417,no,yes,no
49,3,2.0397572397835413,-0.119366200643976,-0.2867339456825878,no,no,no
50,3,2.9028750859931765,-0.17479501127159897,-0.12727273367098046,no,yes,no
51,3,2.0343472213372946,0.8713731194423046,-0.16178701720772715,no,yes,no
