Row_ID,Hierarchical_cluster,KMeans_cluster,Component_1,Component_2,y,housing,loan
54,2,3,0.0759244215953889,-0.059562853055400475,no,yes,no
68,2,3,-0.5038736133808914,-0.26524218645397674,no,yes,no
72,1,3,0.6999526388786004,-0.1946670188082963,no,yes,yes
73,1,3,0.8674822032763598,-0.2399573860374083,no,yes,yes
100,1,3,0.4406582100822075,-0.22260442460633234,no,yes,no
134,1,3,0.06538334544269349,-0.29063318794837123,no,yes,yes
142,1,3,-0.04970232484684622,-0.16129763625907834,no,yes,no
175,1,3,-0.23044382363650975,-0.30169154690253747,no,yes,no
195,1,3,0.91562901688862,-0.1459430510173839,no,yes,no
198,1,3,-0.5520100451713479,-0.30261293144590085,no,no,yes
208,1,3,0.4415654380518223,-0.17787596673665773,no,yes,no
218,2,3,-0.3037557893463365,-0.3278152044767389,no,no,no
238,1,3,0.23068495429276217,-0.27809810155689746,no,yes,no
241,1,3,0.8158925739161506,-0.2325465009640498,no,yes,yes
243,1,3,0.7288163624940333,-0.21373545271721328,no,no,no
292,2,3,-0.7115150642295851,-0.16847455914132262,no,yes,no
316,1,3,0.7311877804049378,-0.23528375970539284,no,yes,no
322,1,3,0.027850585272879706,-0.2915353718750535,no,yes,no
333,1,3,0.3078029641326764,-0.2656099251779532,no,yes,no
350,1,3,0.44376139612657767,-0.3403670368393256,no,yes,no
357,1,3,0.29799517077515364,-0.30022161770495437,no,yes,no
373,2,3,0.891454220809317,-0.007827706236894645,no,no,no
377,1,3,0.09806768152649575,-0.25342434050307877,no,no,no
405,1,3,-0.049324691231202936,-0.35288459911270686,no,no,no
443,1,3,0.9299423070392657,-0.22203281801745245,no,yes,no
446,1,3,-0.2162473229015002,-0.28796038358985443,no,yes,no
474,1,3,0.9045761559105221,-0.21033347188530316,no,yes,no
538,1,3,0.23297783540819783,-0.31320228135376826,no,yes,no
543,1,3,0.12739385343721865,-0.3082225528663748,no,yes,no
547,1,3,-0.9120008651239729,-0.3944561824138587,no,yes,no
614,4,3,0.8424560824750559,-0.09498708169405166,no,yes,no
625,2,3,0.829676269930834,-0.028721714146197393,yes,yes,no
647,2,3,0.839690763153891,-0.15497870827078203,no,yes,yes
649,2,3,0.45946456415830395,-0.17865725097371138,no,yes,no
699,1,3,-0.6566783490030208,-0.30882970157256723,no,yes,no
723,1,3,0.23362885876013806,-0.3965036966116851,no,yes,no
775,1,3,-0.23746164514888843,-0.4286744475323921,no,yes,no
792,2,3,0.22203169037466813,-0.18111590570122796,no,yes,no
798,2,3,0.5124332283626191,-0.47685594613513316,no,yes,no
805,1,3,0.7382246506592226,-0.184830699074892,no,no,no
831,2,3,-0.4692666821290697,-0.2165038493930562,no,yes,no
879,1,3,0.8451697017752221,-0.23111190149051,no,yes,no
899,1,3,0.729428731752992,-0.3375142277715965,no,yes,no
945,1,3,0.7211883004256593,-0.29726787840345664,no,yes,no
967,1,3,0.6924687787242693,-0.3591585848149645,no,yes,no
971,1,3,-0.03243396152009914,-0.2991712458811911,no,yes,no
992,1,3,0.46648779177568267,-0.2657135024253452,no,yes,no
1006,1,3,0.07618926233112139,-0.2536960155446094,no,yes,no
1023,1,3,-0.18718518515604032,-0.22926549310095154,no,yes,no
1025,1,3,-0.4174319871884366,-0.2978853746414002,no,yes,no
1029,1,3,0.2553660189981374,-0.2974980223372871,no,yes,no
1064,1,3,0.9287918240111498,-0.31653161341302094,no,yes,no
1094,1,3,0.28388795841512116,-0.28909352248530656,no,yes,no
1096,1,3,-0.07685661512691817,-0.4802128578547142,no,yes,no
1113,1,3,-0.21908645155805556,-0.25728352121107945,no,yes,no
1125,2,3,0.498095097308567,-0.22491982110318917,yes,yes,yes
1279,1,3,0.22989219100623395,-0.32525117513900254,no,yes,no
1288,1,3,0.7040325218352511,-0.22385160654445327,no,yes,no
1301,1,3,-0.46390928002403325,-0.31146504774344436,no,yes,no
1302,1,3,0.1722376267590169,-0.31836181190874185,no,yes,no
1308,4,3,0.5139553108880672,-0.16431482047142942,no,yes,no
1367,1,3,0.2188440859715612,-0.27102340794370416,no,no,no
1390,1,3,0.333366834980921,-0.4805368210431571,no,yes,no
